Отчет Наличие товаров к дате;;;;;;;;;;
;;;;;;;;;;
;;;Код;Группа;Товар;Ед. изм.;Количество;Приходная цена;Приходная ст-сть;
;;;1119052;Детские товары;Нутрилак смесь оптимум 600 гр;шт.;2,000;600,00;1200,00;
;;;100605;Сладкое/Прочее/Милка;милка чоко кукис орех 135 гр;шт.;5,000;150,00;750,00;
;;;1218;Напитки/Кофе/Какао/Сливки/Кофе;Бушидо Оригинал 100 гр;шт.;6,000;650,00;3900,00;
;;;102424;Сладкое/Прочее/Готовый завтрак (Хлопья);Хрутка 350гр коробка;шт.;2,000;148,00;296,00;
;;;1119226;Сладкое/Шоколадные плитки/пасты;Плитка альпенгольд 130 гр;шт.;1,000;159,99;159,99;
;;;2000999844216;Детские товары;Мепси кондиционер-ополаскиватель 2л;шт.;2,000;407,00;814,00;
;;;95999;Для дома;Клей Момент 30мл Классик;шт.;5,000;85,00;425,00;
;;;108231;Детские товары;Кашка Ассорти 0.2л Фруто Няня;шт.;29,000;38,61;1119,72;
;;;1119341;Химия/Для себя/Крем;Омолаживающий крем я самая;шт.;4,000;158,04;632,16;
;;;103185;Сладкое/Конфеты/Печенья упаковки;Печенье Ассорти Премиум 0.9кг Кондитериум;шт.;2,000;360,00;720,00;
;;;102435;Продукты Питания/Консервы/Мясо;АМ Тушенка по - чеченски 325гр (говядина);шт.;4,000;404,01;1616,04;
;;;2000999844080;Детские товары;Ногти СР-2;шт.;23,000;75,00;1725,00;
;;;1262;Напитки/Чай/Кисель;Чай Махмуд   100 гр;шт.;8,000;125,00;1000,00;
;;;97247;Продукты Питания/Молочка/Сметана/Творог;Сметана Брест-Литовск 315гр 20пр;шт.;3,000;107,40;322,20;
;;;107587;Продукты Питания/Консервы/Мясо;Сайра Натуральная 240гр;шт.;1,000;209,11;209,11;
;;;1119147;Химия/Бытовая химия/Порошки;Фасоль с говядиной 325 гр;шт.;1,000;175,00;175,00;
;;;1118412;Сладкое/Мороженое;Экскимо Дубайский шоколад 90 гр;шт.;7,000;140,00;980,00;
;;;465;Весовые товары/Выпечка;Пряники Агеевские Начинка вкус вишни 5мес (Альфа);кг;4,500;294,00;1323,00;
;;;537;Весовые товары/Выпечка;Печенье Кокосовое настроение 1197 (Мир Слидостей);кг;1,680;219,68;369,06;
;;;1119175;Для дома/Скотч/Изолента;Патрон пластиковый подвесной;шт.;5,000;25,07;125,33;
;;;98982;Семечки;Ядра 70гр Олимпия;шт.;1,000;22,92;22,92;
;;;9815;ДЛЯ КАССЫ/Канцтовары/Для дома;Кукла большая в коробке;шт.;2,000;1200,00;2400,00;
;;;2000999844255;Детские товары;Бюбхен детское мыло;шт.;4,000;295,00;1180,00;
;;;210;Весовые товары/Выпечка;Крендельки Сладкие Арма;кг;0,222;590,00;130,98;
;;;2000999844409;Хлеб/Хлеб1;Хлеб шатой 2;шт.;9,000;55,00;495,00;
;;;1118510;Химия/Ароматная;Армотизатор воздуха осень 250 мл;шт.;3,000;99,00;297,00;
;;;1119391;Фрукты/Сухофрукты;Пряники привереда 500 гр мир сладостей;шт.;5,000;76,10;380,50;
;;;2000999844177;Сладкое/Прочее/Турецкие сладости;Крембер кекс с какао 50 гр;шт.;28,000;39,77;1113,47;
;;;2000999844449;Химия/Для себя/Полость рта;Шампунь ватика 400 мл;шт.;12,000;127,50;1530,00;
;;;101513;Сладкое/Вафли/Зефир;Макаруны 5шт Акульчев 2;шт.;6,000;100,00;600,00;
;;;1251;Напитки/Чай/Кисель;Чай Азер с цедрой лимона 25 пакетиков;шт.;4,000;88,00;352,00;
;;;1270;Сладкое/Прочее;Круассаны 105гр 7 DAYS;шт.;44,000;65,00;2860,00;
;;;1119499;Химия/Для себя/Полость рта;АВС 2145 мл для белого;шт.;1,000;365,00;365,00;
;;;1118329;Химия;Сетка 5 шт;шт.;8,000;73,00;584,00;
;;;1119432;Напитки/Соки/Энергетик;Пиво безалкогольное дон жб 0.450 мл;шт.;22,000;28,50;627,07;
;;;1118969;Хлеб/Хлеб1;Хлеб для сэндвичей ОГО;шт.;24,000;112,66;2703,84;
;;;1119773;ДЛЯ КАССЫ/Посуда;Контейнер для сметаны;шт.;50,000;10,00;500,00;
;;;538;Весовые товары/Выпечка;Конфеты Нота Бум 2;кг;7,444;307,06;2285,75;
;;;1118316;Игрушки;Скраб для тела 450 гр;шт.;2,000;221,50;443,00;
;;;1118805;Канцтовары;Альбом для рисования тачки 40 л;шт.;1,000;115,00;115,00;
;;;712;Весовые товары/Конфеты;Конфеты Чо-ко-те Ессен;кг;1,362;701,55;955,51;
;;;1118978;Продукты Питания/Консервы/Мясо;Печень трески 230 гр;шт.;1,000;162,23;162,23;
;;;1119068;Канцтовары;Калькулятор 703;шт.;1,000;540,00;540,00;
;;;95331;Напитки/Соки/Энергетик;Энергетик Берн 0.449л;шт.;109,000;85,53;9323,15;
;;;2000999844395;Химия/Для себя/Полость рта;Аэрозоль Glade 300 мл океанский оазис;шт.;3,000;127,24;381,72;
;;;108412;Напитки/Соки;Сок Добрый Кола Кола 0.3л;шт.;45,000;44,71;2011,88;
;;;95259;Продукты Питания/Консервы/Мясо;За родину неразд обжар в томат соусе 240 гр;шт.;4,000;96,80;387,20;
;;;1117086;Служебная группа;Стом 0.5 ревень смородина розмарин;шт.;32,000;64,12;2051,68;
;;;1118199;Химия/Для себя/Крем;Спонжик;шт.;26,000;36,00;936,00;
;;;459;Весовые товары/Выпечка;Печенье топленкино раздолье 8мес (Альфа);кг;2,556;210,60;538,29;
;;;1118966;Напитки;Байкал 0.33 л;шт.;1,000;56,67;56,67;
;;;705;Весовые товары/Выпечка;Медовое Морозов (1198) (МС);кг;0,006;219,68;1,32;
;;;95669;яя Подарки;Конфеты RAFFAELLO 40гр;шт.;37,000;93,12;3445,44;
;;;1118458;Сладкое/Мороженое;Экскимо Рафаэлло 50 гр;шт.;11,000;220,00;2420,00;
;;;1118940;Посуда;Кружки 6 шт 052;шт.;1,000;560,00;560,00;
;;;97974;Химия/Для себя/Прокладки;Прокладки ОЛА Классик 20шт;шт.;5,000;90,85;454,25;
;;;102579;Посуда/Средство для мытья посуды;Средство для мытья посуды АОС 1300гр;шт.;7,000;180,00;1260,00;
;;;100296;Для дома/Салфетки;Бумажные полотенца Фамилия ХХЛ 2сл 1рул;шт.;5,000;70,75;353,75;
;;;107335;Продукты Питания;Лепешки 6шт Миссион;шт.;15,000;94,01;1410,15;
;;;105709;Служебная группа;Пленка толстая;шт.;3,000;98,00;294,00;
;;;109599;Канцтовары;Тексто Выделитель 4шт Берлинго;шт.;3,000;200,00;600,00;
;;;552;Фрукты/Овощи/Зелень/Фрукты/Ягоды;Слива Светлая;кг;1,680;63,64;106,91;
;;;1116296;Электроника;Лампа Шар 50 Вт Космос Е27;шт.;5,000;326,80;1634,00;
;;;2000999843981;ДЛЯ КАССЫ/Аксессуары;Кабель Х-90;шт.;2,000;170,00;340,00;
;;;1118970;Продукты Питания/Быстрое питание;Картофельное пюре с луком 240 гр;шт.;5,000;129,99;649,95;
;;;95184;Сладкое/Прочее/Милка;Торт нарезной в ассортименте;шт.;7,000;420,00;2940,00;
;;;97122;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Майонез Слобода Сметанный 800мл 67пр;шт.;5,000;153,15;765,75;
;;;98860;Напитки/Соки;Лимонад СССР груша 0.5л;шт.;1,000;39,00;39,00;
;;;107328;Кошачьи товары;Корм Для Кошек 75гр Феликс Говядина;шт.;35,000;25,99;909,65;
;;;937;Весовые товары/Мясное;Башаров Колбаса Чесночная Нальчик МК;кг;1,455;416,00;605,28;
;;;1118441;Химия/Бытовая химия;Картридж воск 150 гр;шт.;59,000;65,00;3835,00;
;;;1118601;Электроника;Удлинитель космос 1.5 метров;шт.;5,000;194,18;970,92;
;;;109926;Сладкое/Домашняя выпечка;Каприз Маленький Ассорти Азбука вкуса;шт.;3,000;420,00;1260,00;
;;;107949;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Томатная паста 280гр Корона Кавказа;шт.;8,000;60,00;480,00;
;;;1119053;Детские товары;Фруто няня перед  сном 0.2 мл фруктовый;шт.;18,000;39,99;719,82;
;;;1118326;Для дома/Салфетки;Губка чистюля со стальной нитью черная;шт.;4,000;45,00;180,00;
;;;107131;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Рис 3кг Корона Каваказа Премиум;шт.;2,000;261,00;522,00;
;;;96426;Напитки/Соки;Натахтари 1л;шт.;153,000;108,33;16575,00;
;;;108636;Напитки/Соки;Сок Добрый Кока Лесные Ягоды 1.5л;шт.;3,000;91,99;275,97;
;;;391;Весовые товары/Мясное;ММ Султанская вареная, (0.7);кг;5,094;360,00;1833,84;
;;;2000999844452;Для дома/Салфетки;Влажные салфетки комфорт роза 120 шт;шт.;8,000;115,00;920,00;
;;;103457;Сладкое/Шоколадные плитки/пасты;Плитка Дав 90гр Фундук;шт.;2,000;120,00;240,00;
;;;1118086;Химия/Для себя/Мыло;Мыло жидкое савон де роял 500 мл;шт.;1,000;253,00;253,00;
;;;2000999844441;Сладкое/Мармелад/Драже/Карамель;Мармелад биг беар 80 гр;шт.;60,000;71,84;4310,35;
;;;164;Весовые товары/Выпечка;Печенье кокосовое Кузнецов 6мес (Альфа) 163дн;кг;1,082;149,33;161,58;
;;;108293;Детские товары;Кабрита Голд 1 800гр Ж/Б;шт.;1,000;2800,00;2800,00;
;;;96423;Продукты Питания/Павильное Питание;Заменитель сахара 50гр 100шт Фит Парад 14;шт.;2,000;147,17;294,34;
;;;109157;Для дома/Салфетки;Бумажные полотенца Зева Эксперт 2рул;шт.;3,000;260,00;780,00;
;;;255;Весовые товары/Вафли вес;Стейк Горбуши;кг;4,760;630,00;2998,80;
;;;1118793;Канцтовары;Альбом для рисования 40 л;шт.;17,000;95,00;1615,00;
;;;99286;Жевачка;Холлс 25гр;шт.;2,000;45,36;90,72;
;;;1355;Сладкое/Батончики/бисквиты;Малтизерс бисквит 110 гр;шт.;5,000;240,00;1200,00;
;;;724;Весовые товары/Выпечка;Дыня;кг;30,103;44,59;1342,43;
;;;111219;Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар;Сахар Кусковой 750гр Исмаил;шт.;3,000;128,00;384,00;
;;;1119520;Служебная группа;Носки мужские 560;шт.;7,000;27,00;189,00;
;;;107624;Сладкое/Печенье/Пряники;Шоко Стикс 130гр В Мол Шоколаде;шт.;2,000;95,00;190,00;
;;;106750;Детские товары;Подгузники для взрослых ИД Пантс премиум ХЛ 10шт;шт.;2,000;804,00;1608,00;
;;;1117107;Кошачьи товары;Mooor аппетитная говядина 75гр;шт.;21,000;14,43;303,00;
;;;1118931;Электроника/Гаджеты;Колонка ГС32;шт.;1,000;820,00;820,00;
;;;1227;Напитки/Чай/Кисель;Чай Джамал 100гр Черный;шт.;4,000;155,00;620,00;
;;;1118749;Игрушки;Мыльные пузыри 1;шт.;14,000;37,80;529,20;
;;;1118640;Фрукты/Сухофрукты;Банан в глазури;шт.;12,000;75,00;900,00;
;;;1118685;Химия/Для себя;Курабье микс 300 гр;шт.;2,000;283,08;566,16;
;;;103332;Продукты Питания/Павильное Питание;Хлебцы Dr.Korner 90гр Карамельные;шт.;9,000;68,81;619,29;
;;;96440;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Майонез Слобода Оливковый 750гр 67пр;шт.;1,000;187,34;187,34;
;;;1119435;Электроника;Батарейки Энержайзер АА2;шт.;10,000;50,79;507,93;
;;;106112;Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар;Сахар Корона Кавказа 2кг;шт.;4,000;149,00;596,00;
;;;1119075;Сладкое/Батончики/бисквиты;Веник малыш;шт.;5,000;130,00;650,00;
;;;96999;Детские товары;Подгузники Хаггис мальчикам 5 64шт;шт.;6,000;1040,00;6240,00;
;;;97696;Сладкое/Прочее/Милка;Милка Чоко Крем 260гр;шт.;15,000;220,00;3300,00;
;;;1119227;Сладкое/Шоколадные плитки/пасты;Плитка альпенгольд с фундуком 130 гр;шт.;2,000;159,99;319,98;
;;;110193;Продукты Питания/Молочка/Сметана/Творог;Простокваша Дарман 350гр 4 пр;шт.;3,000;70,00;210,00;
;;;106104;Химия/Бытовая химия;Тряпка Тайота;шт.;3,000;120,00;360,00;
;;;2000999843958;Химия/Для себя;Лего в мешке;шт.;1,000;420,00;420,00;
;;;102441;Продукты Питания/Молочка/Йогурт/Пудинг;Молочный коктейль 910мл Чудо;шт.;9,000;159,99;1439,91;
;;;468;Весовые товары/Выпечка;Пряники с ароматом топленого молока 3мес Агеевские (Альфа) 71дн;кг;2,108;250,86;528,81;
;;;100011;Сладкое/Прочее/Милка;Плитка Милка МММакс 300гр Орео;шт.;4,000;335,00;1340,00;
;;;1115549;Продукты Питания/Консервы/Мясо;Иран цветной сахар;шт.;3,000;85,00;255,00;
;;;2000999844264;Детские товары;Ватные палочки кидс 50 шт;шт.;4,000;75,00;300,00;
;;;1119131;Продукты Питания/Павильное Питание;БигБабол яблоко;шт.;3,000;28,73;86,18;
;;;109152;Сладкое/Домашняя выпечка;Пончики Седа;шт.;12,000;55,00;660,00;
;;;273;Весовые товары/Мясное;Рыба Балык Копченная;кг;10,912;640,00;6983,68;
;;;2000999844283;Детские товары;Гель для посуды здоровье малышам 1 л;шт.;2,000;201,00;402,00;
;;;99878;Напитки/Соки;Алоэ премиум 0.5л;шт.;3,000;41,00;123,00;
;;;1118480;Продукты Питания/Консервы/Мясо;Паштет с чили и лимоном 95 гр;шт.;2,000;199,64;399,28;
;;;1118426;Продукты Питания/Мука/Сахар/Соль/Крахмал;Соль морская пищевая 500гр;шт.;3,000;92,00;276,00;
;;;95350;Напитки/Вода;Пилигрим 0.5л;шт.;8,000;37,50;300,00;
;;;102167;Продукты Питания/Павильное Питание;печенье овсяное Петродиет на фруктозе 340гр;шт.;1,000;156,32;156,32;
;;;2000999844151;Весовые товары/Мясное;Крылышки острые в панировки;шт.;1,000;1437,50;1437,50;
;;;1119513;Служебная группа;Носки мужские 1274;шт.;8,000;44,00;352,00;
;;;1118522;Напитки/Соки;Напиток сан пеллегрино 330 мл;шт.;1,000;98,00;98,00;
;;;1367;Сладкое/Шоколадные плитки/пасты;Плитка мини Аленка  15 гр;шт.;54,000;17,86;964,29;
;;;1118735;Игрушки/Пистолеты/Мячи;Зайчата резиновые;шт.;7,000;110,00;770,00;
;;;1118861;Химия/Ароматная;Освежитель воздуха против домашних животных;шт.;3,000;137,28;411,84;
;;;100799;Продукты Питания;лепешки тортильи деликадос пшеничные оригинальные;шт.;4,000;138,40;553,60;
;;;1118812;Для дома;Веник и савок;шт.;2,000;580,00;1160,00;
;;;111427;Продукты Питания/Консервы/Мясо;Килька по гавайски 240гр;шт.;6,000;96,80;580,80;
;;;1118606;Электроника;Прожектор 20 вт космос;шт.;5,000;245,46;1227,29;
;;;26268;Служебная группа;Черемша в банке;шт.;27,000;65,00;1755,00;
;;;104826;Чипсы;Сол Джамиля Огурцы 1л;шт.;8,000;280,00;2240,00;
;;;1115535;Продукты Питания/Консервы/Мясо;Тушенка говядина Премиум;шт.;4,000;326,00;1304,00;
;;;6504;ДЛЯ КАССЫ/Прочее.;Благодарю Упаковка;шт.;225,000;67,50;15187,50;
;;;103330;Напитки/Чай/Кисель;Чай Кежо 200гр 1001 ночь;шт.;14,000;300,60;4208,40;
;;;94837;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Цолода Булгур 1000гр;шт.;3,000;89,00;267,00;
;;;1201;Напитки/Чай/Кисель;Чай Краснодарский черешковый 200 гр;шт.;7,000;68,00;476,00;
;;;2005;Сладкое/Прочее/Милка;Плитка Милка МММакс 250гр Чоко Желли;шт.;3,000;345,00;1035,00;
;;;1118947;Продукты Питания/Консервы/Зелень;Маслины без косточки 300 мл;шт.;2,000;149,67;299,34;
;;;698;Весовые товары/Выпечка;Рулетик с урюком САХАРА (МС);кг;0,872;302,33;263,63;
;;;111011;Сладкое/Домашняя выпечка;Орешки 350гр Альфия Нутелла;шт.;2,000;194,25;388,50;
;;;97134;Сладкое/Домашняя выпечка;Улейки Азбука Вкуса;шт.;3,000;270,00;810,00;
;;;1119574;Служебная группа;Газовая печка;шт.;2,000;650,00;1300,00;
;;;339;Весовые товары/Мясное;АМ Филе курицы;кг;0,012;847,98;10,18;
;;;454;Весовые товары/Мясное;МД Абуев Сосиски Мусульманские;кг;0,798;357,00;284,89;
;;;110063;Напитки/Соки;Рани 0.24л ж/б;шт.;24,000;64,58;1550,00;
;;;1119377;Посуда/Средство для мытья посуды;Диффозур;шт.;2,000;350,00;700,00;
;;;1119009;ДЛЯ КАССЫ/Посуда;Горшок Бейби 175;шт.;8,000;195,00;1560,00;
;;;1119242;Фрукты/Овощи/Зелень/Фрукты/Ягоды;Овощи для жарки Агама 410 гр;шт.;3,000;132,14;396,42;
;;;97749;Продукты Питания/Молочка/Молоко/Кефир/Сливки;Кефир Дарман 900гр 2.5пр бут;шт.;15,000;125,00;1875,00;
;;;2000999844146;Чипсы;Чипсы намбы 70 гр (Вико);шт.;22,000;54,79;1205,38;
;;;105268;Сладкое/Конфеты/Печенья упаковки;Печенье Кокосовое 430г;шт.;5,000;99,66;498,30;
;;;103586;Сладкое/Домашняя выпечка;Панчо Классический Азбука Вкуса;шт.;1,000;90,00;90,00;
;;;103598;Продукты Питания/Молочка/Сыр/Копченый Сыр;Сыр косичка Белая 110гр Башаров;шт.;1,000;75,00;75,00;
;;;1119372;Посуда;Стакан 1 шт;шт.;6,000;30,00;180,00;
;;;1119719;Продукты Питания;Золотой стандарт 900гр;шт.;3,000;300,00;900,00;
;;;1118695;Напитки/Соки;Зубная щетка колгейт зиг-заг;шт.;6,000;70,00;420,00;
;;;1199;Напитки/Чай/Кисель;Чай Муслим черный 200 гр;шт.;5,000;300,00;1500,00;
;;;1119028;ДЛЯ КАССЫ/Посуда;Масленка магнум 486 арт;шт.;2,000;380,00;760,00;
;;;837;Фрукты/Овощи/Зелень/Фрукты/Ягоды;Виноград Зеленый;кг;2,900;90,00;261,00;
;;;745;Весовые товары/Мясное;Абуев Голень ЦБ (Лоток);кг;1,488;290,00;431,52;
;;;1119512;Одежда/Носки/Гольфы;МУжские носки 8076;шт.;10,000;64,00;640,00;
;;;98488;Продукты Питания/Молочка/Сметана/Творог;Сметана Простоквашино 300гр 25пр;шт.;4,000;123,99;495,96;
;;;2000999844269;Детские товары;Мягкая губка кидс;шт.;1,000;173,00;173,00;
;;;97683;Для дома/Салфетки;Бумажные полотенца Папия 4 рулона 3слоя;шт.;2,000;176,00;352,00;
;;;1119000;ДЛЯ КАССЫ/Посуда;Крышки полиэтиленовые;шт.;2,000;60,00;120,00;
;;;95931;Детские товары;Подгузники Хелен харпер софт энд драй 5-ка;шт.;3,000;579,00;1737,00;
;;;1119720;Сладкое/Мороженое;Экзо мороженое драгонфрукт 520 гр;шт.;1,000;400,00;400,00;
;;;95013;Сладкое/Прочее/Кукурузные палочки/Поп Корн;Попкорн с карелью 100гр БАБУШКИН ОГОРОД;шт.;24,000;39,58;950,00;
;;;1118314;Детские товары;Вода кристальный родник 1.5 л;шт.;4,000;69,99;279,96;
;;;1119219;Химия/Для себя/Мыло;Мыло китайское 200 гр;шт.;8,000;70,00;560,00;
;;;103187;Сладкое/Конфеты/Печенья упаковки;Печенье песочное Ассорти 1кг Кондитериум;шт.;2,000;277,00;554,00;
;;;107121;Напитки/Соки;Рич Ананас 1 л Тетра Пак;шт.;8,000;205,75;1646,00;
;;;96455;Напитки/Соки;Липтон 1.5л персик;шт.;18,000;141,67;2550,00;
;;;105579;Служебная группа;Батончик Нут-Го Миндаль 34гр;шт.;23,000;25,07;576,61;
;;;106588;Напитки/Чай/Кисель;Сироп Баринофф 1л;шт.;8,000;348,72;2789,76;
;;;110027;Сладкое/Мармелад/Драже/Карамель;Кренди Арахисовая Паста 170гр;шт.;3,000;57,50;172,50;
;;;1115600;Детские товары;Подгузники Мерриес 5 38шт;шт.;1,000;1450,00;1450,00;
;;;110071;Продукты Питания/Консервы/Мясо;БлэкБулл Джерки 45гр Куриные;шт.;6,000;115,00;690,00;
;;;99951;Напитки/Соки;Сок Добрый Кока Кола 1л;шт.;20,000;61,28;1225,64;
;;;108050;Для дома/Салфетки;Бумажные полотенца Папиа 3сл 4рул;шт.;4,000;176,90;707,60;
;;;1035;Весовые товары/Выпечка;Печенье Топленое Молоко Альфа;кг;5,000;144,67;723,33;
;;;1116482;Химия/Для себя/Мыло;Жидкое Мыло хозяйственное 5 л Так Чисто;шт.;7,000;250,00;1750,00;
;;;1116208;Химия/Для себя;Лак для волос С косметик 360 мл;шт.;2,000;220,05;440,10;
;;;2000999844150;Сладкое/Мармелад/Драже/Карамель;Яйцо шоколадное кироми 70 гр;шт.;2,000;262,33;524,67;
;;;1118377;Игрушки;Спасательный жилет 59663;шт.;2,000;261,00;522,00;
;;;1118701;Семечки;Капучино долче вита 24 гр;шт.;20,000;14,65;293,00;
;;;2000999844403;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Гречка Мистраль 2  кг;шт.;4,000;230,78;923,12;
;;;111388;Продукты Питания/Молочка/Йогурт/Пудинг;Кетчуп Слабода чили 320гр;шт.;2,000;82,23;164,46;
;;;1118965;Напитки/Чай/Кисель;Чай муслим фруктовый 36 п;шт.;3,000;270,00;810,00;
;;;107559;Напитки/Вода;Минеральная Вода Нарзан 1.5л;шт.;2,000;87,83;175,67;
;;;111342;Продукты Питания/Молочка/Сыр/Копченый Сыр;Икра Лососевая Струкурированная ж/б 120гр;шт.;2,000;180,00;360,00;
;;;1119531;Сладкое/Мороженое;Мороженое эскимо кореновка;шт.;22,000;94,00;2068,00;
;;;1119260;Кошачьи товары;Лоток для кошек барсик;шт.;1,000;500,00;500,00;
;;;1117414;Служебная группа;Следы;шт.;22,000;28,00;616,00;
;;;1118518;Сладкое/Прочее/Турецкие сладости;Сэндвич печенье банан 280 гр;шт.;3,000;172,00;516,00;
;;;1118722;Сладкое/Прочее/Милка;Милка лео 48 гр;шт.;1,000;85,00;85,00;
;;;1118136;Химия/Для себя/Крем;Увлажняющий крем с коллагеном 30 мл;шт.;5,000;55,00;275,00;
;;;1118759;Игрушки/Машинки;Цветок косметика;шт.;3,000;125,00;375,00;
;;;1322;Семечки;Семечки с солью 80гр КРУТОЙ ОКЕР;шт.;1,000;40,90;40,90;
;;;1119610;Химия/Для себя;Зайка в платье большой;шт.;3,000;500,00;1500,00;
;;;2000999844174;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Чипсы Diesel 120 гр сметана и петрушка ( РУССКАЯ КАРТОШКА);шт.;20,000;99,19;1983,80;
;;;10043;Одежда/Носки/Гольфы;Носки мужские Найк 41-47;шт.;8,000;28,00;224,00;
;;;1117747;Детские товары;Малютка 900 гр 1;шт.;2,000;960,00;1920,00;
;;;1116299;Напитки/Соки;Сок Добрый 1 л мультифрукт;шт.;45,000;96,50;4342,50;
;;;104161;Сладкое/Домашняя выпечка;Трайфл стакан большой;шт.;3,000;285,00;855,00;
;;;103120;Фрукты/Сухофрукты;Курага 300гр Аль Ихляс;шт.;4,000;270,00;1080,00;
;;;1117945;Сладкое/Мороженое;Хабиби дубайский шоколад 80 гр;шт.;1,000;125,00;125,00;
;;;2000999844087;Детские товары;Кукла резиновая в коробке;шт.;2,000;820,00;1640,00;
;;;2000999844331;Хлеб/Хлеб1;Хлеб турецкий;шт.;18,000;40,00;720,00;
;;;99514;Детские товары;Каша Фруто няня 200гр Яблоко банан и земляника;шт.;4,000;130,00;520,00;
;;;1119679;ДЛЯ КАССЫ/Посуда;Контейнер маленький;шт.;73,000;6,50;474,50;
;;;1119010;ДЛЯ КАССЫ/Посуда;Набор контейнеров 4в1;шт.;1,000;300,00;300,00;
;;;1118906;Напитки/Соки;Булочки для бургера 6 шт;шт.;14,000;255,00;3570,00;
;;;95505;Химия/Бытовая химия;Белизна Гель 5в1;шт.;24,000;55,00;1320,00;
;;;1119083;Сладкое/Мармелад/Драже/Карамель/Мармелад;Бургер на палочке;шт.;1,000;20,00;20,00;
;;;106044;Служебная группа;Коффе Атоми 12.1г;шт.;31,000;39,00;1209,00;
;;;1118561;Химия/Для себя/Бритвы;Набор для маникюра;шт.;2,000;270,00;540,00;
;;;1041;Весовые товары/Конфеты;Конфеты Добрянка Фундук;кг;1,544;483,00;745,75;
;;;2000999844069;Напитки/Соки;Мед Горский 370 гр;шт.;2,000;204,70;409,40;
;;;1118614;Химия/Бытовая химия;АВС Чистящее средство 750 мл;шт.;13,000;110,50;1436,50;
;;;99525;Продукты Питания/Молочка/Сыр/Копченый Сыр;Сыр плавленый Сливочный Президент 200гр;шт.;2,000;136,82;273,64;
;;;2000999844248;Детские товары;Бюбхен для младенцев 400 мл;шт.;3,000;570,00;1710,00;
;;;1118386;Игрушки;Надувной круг для моря шина 1.14 м;шт.;2,000;690,00;1380,00;
;;;1119429;Одежда/Носки/Гольфы;Носки 1162;шт.;9,000;30,00;270,00;
;;;107718;Напитки/Вода;Серноводская Вкусовая 0.5л;шт.;235,000;34,65;8142,75;
;;;104792;Напитки/Соки/Энергетик;Улькер Ассорти Мармелад 200гр;шт.;3,000;119,00;357,00;
;;;1140;ДЛЯ КАССЫ/Прочее.;Яйцо Белое Штучно;шт.;244,000;7,50;1830,00;
;;;2000999844060;Для дома;Пакеты вакумные;шт.;3,000;130,00;390,00;
;;;105781;Продукты Питания/Консервы;Маслины Без Косточки 314мл Солато;шт.;4,000;148,75;595,00;
;;;98756;Напитки/Вода;Минералка Меркурий 0.5л;шт.;2,000;37,50;75,00;
;;;1118394;Детские товары;Сыр творожный 69 пр 100гр;шт.;1,000;81,90;81,90;
;;;1118425;Чипсы;Начос 150 гр лобстер с оливками;шт.;6,000;117,18;703,08;
;;;2000999844350;Химия/Для себя;Сильвер краска для замши и нубука;шт.;3,000;367,00;1101,00;
;;;97529;Продукты Питания/Быстрое питание;Роллтон лапша по домашнему 90гр;шт.;5,000;47,00;235,00;
;;;2000999844042;Напитки/Чай/Кисель;Протеинововое печенье сникерс 60 гр;шт.;5,000;190,00;950,00;
;;;111026;Игрушки;Лединец большой Ассорти;шт.;8,000;120,00;960,00;
;;;98104;Сушеные Рыба/Говядина;Суджук/Джерки курица;шт.;77,000;98,00;7546,00;
;;;1118207;Служебная группа;Эпилятор км 209;шт.;5,000;299,00;1495,00;
;;;104402;Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар;Томатная Паста 1000гр Марва;шт.;4,000;200,00;800,00;
;;;100837;Сладкое/Прочее/Нутелла;Нутелла 400гр;шт.;7,000;350,00;2450,00;
;;;109293;Игрушки;Кукла свет Ангел;шт.;1,000;1200,00;1200,00;
;;;1119297;Продукты Питания/Молочка/Йогурт/Пудинг;J7 смузи клубника 0.3 мл;шт.;2,000;63,99;127,98;
;;;1118494;Сладкое/Домашняя выпечка;Чайник электрический 2 л;шт.;2,000;835,24;1670,48;
;;;1117324;Сладкое/Батончики/бисквиты;7 Дейз рулет лесные ягоды;шт.;4,000;102,00;408,00;
;;;1118725;Продукты Питания/Полуфабрикаты;Долма 1 кг Зарета;шт.;2,000;250,00;500,00;
;;;94947;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Соус чили 200гр АЗИФУД;шт.;15,000;55,00;825,00;
;;;1118472;Электроника;Держатель 106;шт.;4,000;260,00;1040,00;
;;;2000999844024;Игрушки;Кукла принцесса стиль;шт.;1,000;1,00;1,00;
;;;1119648;Игрушки;Кукла Стильная;шт.;4,000;520,00;2080,00;
;;;102554;Сладкое/Прочее/Милка;Плитка Милка 100гр Крема ку какао;шт.;4,000;103,00;412,00;
;;;752;Весовые товары/Выпечка;Заварные пальчики в шоколаде  Альфа (Шнайдер);кг;2,000;290,50;581,00;
