Отчет Наличие товаров к дате;;;;;;;;;;
;;;;;;;;;;
;;;Код;Группа;Товар;Ед. изм.;Количество;Приходная цена;Приходная ст-сть;
;;;1119424;Одежда/Носки/Гольфы;носки женские 2055;шт.;8,000;25,00;200,00;
;;;2000999844314;Детские товары;Мепси кондиционер ополаскиватель 1 л;шт.;1,000;240,00;240,00;
;;;102047;Масла/Масла подсолнечные/оливковое;Масло Мамрук 1л;шт.;14,000;143,33;2006,67;
;;;1118381;Игрушки;Круг для моря 2;шт.;1,000;590,00;590,00;
;;;1119203;Сладкое/Прочее/Киндер;Акульчев мяфли 310 гр;шт.;2,000;160,00;320,00;
;;;106091;Сушеные Рыба/Говядина;Рыба Соломка Барбекю 15гр Флотская;шт.;12,000;34,78;417,36;
;;;2000999844391;Химия/Для себя/Полость рта;Аэрозоль с блоком пион 269 мл;шт.;1,000;854,90;854,90;
;;;1118746;Игрушки;Мыльные пузыри большие 1;шт.;22,000;85,00;1870,00;
;;;1119099;Химия/Для себя/Мыло;Салфетки влажные аура арбуз;шт.;9,000;45,00;405,00;
;;;2000999844108;Весовые товары/Конфеты;Рахат лукум ассорти 700 гр;шт.;2,000;228,00;456,00;
;;;1119708;ДЛЯ КАССЫ/Химия;Металлическая сетка Эмвэ;шт.;2,000;220,00;440,00;
;;;105908;Служебная группа;Термопакет средний;шт.;16,000;100,00;1600,00;
;;;1118989;Продукты Питания/Консервы/Мясо;Килька балтийская 230 гр;шт.;6,000;90,72;544,32;
;;;97897;Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар;Сахар кусковой 800гр АзерШекер мягкая упаковка;шт.;3,000;135,00;405,00;
;;;100746;Жевачка;ментос фруктовый 37 г;шт.;13,000;30,83;400,83;
;;;98708;Жевачка;Орбит мини классический 10.2гр;шт.;16,000;27,50;440,00;
;;;101269;ДЛЯ КАССЫ/Кухня;Китикет аппетитная курочка в соусе 85 гр;шт.;20,000;23,99;479,80;
;;;108655;Химия/Для себя/Бритвы;Бритва Бик Лади;шт.;10,000;170,00;1700,00;
;;;97075;яя Подарки;влажные салфетки ловулар;шт.;6,000;128,57;771,42;
;;;1119469;Для дома/Скотч/Изолента;Пемза зингер 13802;шт.;3,000;185,00;555,00;
;;;2000999843985;ДЛЯ КАССЫ/Аксессуары;Кабель Х-14;шт.;5,000;240,00;1200,00;
;;;1118082;Детские товары;Подгузники хелен харпер ночные 6 ка;шт.;1,000;440,00;440,00;
;;;1118210;Служебная группа;Набор от Chahel 6 в 1;шт.;5,000;329,00;1645,00;
;;;1118334;Посуда;Карандаш кислородный для отбеливания и удаления пятен;шт.;3,000;150,00;450,00;
;;;1119079;Продукты Питания/Павильное Питание;Семена чиа 150 гр национало;шт.;1,000;150,00;150,00;
;;;1119272;Служебная группа;Биг бон лапша макс 110 гр;шт.;19,000;96,88;1840,63;
;;;1118869;Химия/Ароматная;Ваниш отбеливатель 500 гр;шт.;2,000;277,00;554,00;
;;;103195;Напитки/Вода;Серноводская 1.5л Газ;шт.;30,000;1,00;30,00;
;;;104067;Фрукты/Сухофрукты;Милка чоко ков 120гр;шт.;2,000;135,00;270,00;
;;;104156;Химия;Маска Космитическая;шт.;21,000;12,67;266,00;
;;;2000999844293;Детские товары;Ниблер силиконовый сказка;шт.;4,000;165,00;660,00;
;;;1118662;Сладкое/Конфеты/Печенья упаковки;Печенье Любятово топленое молоко4610003254759;шт.;4,000;61,31;245,24;
;;;321;Весовые товары/Вафли вес;Жев.Зефир Зефирчики Шоу (Азовчанка)  (МС) Арма;кг;3,894;344,50;1341,48;
;;;103684;Чипсы;Чипсы Корнерсы 50гр Паприка Чили;шт.;1,000;47,82;47,82;
;;;1118231;Напитки/Кофе/Какао/Сливки;Экскимо красное;шт.;93,000;21,00;1953,00;
;;;2222;Фрукты/Овощи/Зелень/Фрукты/Ягоды;Грейпфрут;шт.;1,000;80,00;80,00;
;;;103446;Одежда;Резинки в банке;шт.;30,000;60,00;1800,00;
;;;1118423;Чипсы;Начос 150 гр пикантная сальса;шт.;6,000;122,00;732,00;
;;;1118507;Для дома/Мешки для мусора;Мусорные пакеты плюше 35 л;шт.;30,000;57,06;1711,80;
;;;109498;Напитки/Соки;Липтон 1л малина;шт.;12,000;134,25;1611,00;
;;;110213;Для дома;Удленитель 3м Космос;шт.;2,000;319,84;639,68;
;;;2000999844281;Детские товары;Кабрита 180 гр;шт.;5,000;550,00;2750,00;
;;;9963;ДЛЯ КАССЫ/Подгузники;Тапочки 5;шт.;9,000;450,00;4050,00;
;;;524;Весовые товары/Выпечка;Кекс с черной смородиной альфа;кг;1,600;335,00;536,00;
;;;870;Весовые товары/Мясное;АМ Колбаски чесночные;кг;0,001;664,02;0,66;
;;;1118885;Продукты Питания/Павильное Питание;Роблокерсы яйцо;шт.;11,000;139,33;1532,67;
;;;108027;Продукты Питания/Морепродукты;Торнадо 0.45л жб Бабл Гам;шт.;33,000;45,70;1508,10;
;;;1119103;Химия/Для себя/Мыло;Жидкое мыло 500 мл доха з;шт.;15,000;150,00;2250,00;
;;;94915;Сладкое/Вафли/Зефир;Венские вафли со вкусом банана 100гр АКУЛЬЧЕВ;шт.;2,000;55,19;110,38;
;;;102752;Напитки/Соки;Сок Швелл 0.75л Вишня;шт.;6,000;142,17;853,00;
;;;1119239;Продукты Питания/Полуфабрикаты;Брокколи капуста агама 400 гр;шт.;3,000;171,85;515,55;
;;;96941;Сладкое/Прочее/Милка;Милка чоко бровни 150гр;шт.;8,000;210,00;1680,00;
;;;1119346;Химия/Для себя/Крем;Лак для волос силет;шт.;2,000;127,08;254,16;
;;;926;Весовые товары/Выпечка;Пряники Агеевские с Черникой 3мес Альфа;кг;0,826;280,23;231,47;
;;;940;Сладкое/Конфеты/Печенья упаковки;Конфеты Твикс Мини;кг;0,618;725,00;448,05;
;;;107657;Напитки;Черноголовка Кола 0.33л жб;шт.;4,000;50,00;200,00;
;;;1118045;ДЛЯ КАССЫ/Подгузники;десерт графские развалины;шт.;1,000;320,00;320,00;
;;;2000999844384;Химия/Бытовая химия/Порошки;Дискрет прокладки норма;шт.;12,000;190,00;2280,00;
;;;1118671;Сладкое/Конфеты/Печенья упаковки;Печенье Юбилейное с хлопьями 224 гр;шт.;12,000;62,63;751,56;
;;;1188;Напитки/Чай/Кисель;Чай МК 100 гр;шт.;5,000;60,00;300,00;
;;;95684;Сладкое/Батончики/бисквиты/Батончики/Пирожные;Батончик Марс 50гр;шт.;16,000;44,44;711,11;
;;;103376;Электроника/Гаджеты;СЗУ (блок) С25;шт.;5,000;470,00;2350,00;
;;;108217;Сладкое/Домашняя выпечка;Шарлотки / Бантики Азбука Вкуса;шт.;6,000;235,00;1410,00;
;;;330;Весовые товары/Мясное;Башаров Грудка Куриная в паприке;кг;3,331;716,00;2385,00;
;;;1119245;Фрукты/Овощи/Зелень/Фрукты/Ягоды;Фреш 1.5л;шт.;2,000;39,42;78,84;
;;;1119718;Продукты Питания;Золотой стандарт пломбир 500гр;шт.;1,000;465,00;465,00;
;;;94824;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Крупа пшеничная 700 Исмаил;шт.;7,000;43,00;301,00;
;;;1118455;Сладкое/Мороженое;Мороженое санта;шт.;2,000;18,00;36,00;
;;;108173;Напитки/Соки/Энергетик;Стелла Артоис 0.44л 0.0пр Стекло;шт.;23,000;62,50;1437,50;
;;;109381;Чипсы/Принглс;Прингалс 165гр Сладкая Паприка;шт.;1,000;168,42;168,42;
;;;101241;Сладкое/Мармелад/Драже/Карамель;Карамель на палочке Буба 10гр;шт.;10,000;36,04;360,42;
;;;2000999844008;Сладкое/Вафли/Зефир;Вафля простоквашино 40 гр;шт.;7,000;33,33;233,31;
;;;2000999844173;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Царь хлопья 6 злаков 400 гр;шт.;5,000;65,40;327,00;
;;;2000999844253;Детские товары;Энта держатель;шт.;9,000;350,00;3150,00;
;;;100808;ДЛЯ КАССЫ/Кухня;Финики Алжир Ихляс 400 гр;шт.;11,000;115,00;1265,00;
;;;1119521;Служебная группа;Колготки детские Фенна;шт.;47,000;45,00;2115,00;
;;;2000999844203;Детские товары;Бутылочка Авент 330 мл;шт.;7,000;220,00;1540,00;
;;;1119100;Химия/Для себя;Шампунь  гель 500 мл;шт.;7,000;137,07;959,49;
;;;97268;Детские товары;Симилак голд 1 от 0 до 6месяцев 800гр;шт.;2,000;1000,00;2000,00;
;;;110524;Напитки/Чай/Кисель;Чай Джамал 200гр Бомба Пеко;шт.;2,000;310,00;620,00;
;;;1117895;Сладкое/Мороженое;Мороженое хабиби малина;шт.;37,000;85,00;3145,00;
;;;100168;Сладкое/Мороженое;Мороженое Рустик;шт.;33,000;16,00;528,00;
;;;101669;Масла;Масло Топленая Тульчинка 2.8кг;шт.;2,000;733,33;1466,66;
;;;1118338;Служебная группа;Духи мужские дольче и габбана 125 мл;шт.;3,000;329,00;987,00;
;;;1118359;Семечки;Ккукуруза хрустящая джин;шт.;12,000;41,00;492,00;
;;;2000999843960;Химия/Для себя;Кукла в коробке с челкой;шт.;1,000;700,00;700,00;
;;;1117216;Чипсы;Русская картошка 80 гр;шт.;37,000;88,04;3257,48;
;;;1119556;Продукты Питания/Молочка/Сыр/Копченый Сыр;Сыр плавленный фетакса с маслинами 200 гр;шт.;3,000;180,00;540,00;
;;;96897;Сушеные Рыба/Говядина;Кальмар 40гр Флотская;шт.;20,000;97,27;1945,40;
;;;799;Весовые товары/Мясное;Башаров колбаса Особая;кг;0,055;424,00;23,32;
;;;2000999843970;Химия/Для себя;Аромасвеча в стакане;шт.;12,000;250,00;3000,00;
;;;102801;Сладкое/Домашняя выпечка;Торт в ассортименте Азбука Вкуса;шт.;14,000;840,00;11760,00;
;;;108775;Игрушки;Жилет Детский;шт.;6,000;351,00;2106,00;
;;;606;Весовые товары/Выпечка;Конфеты Леди ночь чернослив;кг;3,000;568,50;1705,50;
;;;110984;Сладкое/Конфеты/Печенья упаковки;Земляничное 430гр (Мозрозова);шт.;5,000;99,66;498,30;
;;;96853;Продукты Питания/Молочка/Молоко/Кефир/Сливки;Сливки 1л Декор Ап;шт.;6,000;291,67;1750,02;
;;;1118056;Продукты Питания/Молочка/Йогурт/Пудинг;Йогурт эпика без сахара 260 гр;шт.;1,000;69,99;69,99;
